No;Kategori;Produk/Jasa/PT;Nama Kontak;Telepon
1;MRO & Industrial Parts;Brand Parker;Om Denny (API);+62 811-8012-340
2;MRO & Industrial Parts;Grundfos;Amekatronika (Jimmy Paembona);+62 811-7708-612
3;Logistics & Transportation;Logistik Umum;Ivan (Founder API);+62 878-1601-8088
4;Logistics & Transportation;Logistik Kendaraan Bermotor & BHP Medis;Hannas;+62 856-9460-0159
5;Energy & Utilities;Gas Industri;Ayu (PT Putra Sinar Gas);+62812-8410-0064
6;Logistics & Transportation;Mobil Bus Truck & Motor Listrik Custom;Rommi (PT Mobil Anak Bangsa);-
7;MRO & Industrial Parts;Part Weichai Yuchai Shandong & Marine;Hanoko;+62812-7778-684
8;General Affairs (GA);Papan Bunga Ucapan (Jakarta);Silvi (heyheyflorist);+62819-3233-2135
9;Professional Services;Jasa Perizinan Import & Palugada GA;Sy Tia;+6281295952601
10;MRO & Industrial Parts;Sparepart Mobil (Shock Leaf Spring Coil);Ceha;-
11;GA & Health;IT Sembako Peralatan RT Obat & Alkes;Alin (PT Rajawali Nusindo);+62813-3514-1009
12;Health & HSE;Obat & Alkes;Umai (Pusat Medika);-
13;MRO & Industrial Parts;Traktor Roda 4 & Manufaktur Parts OEM;Vera (TACT CNI);+62856-4010-0866
14;General Affairs (GA);Snack Event Booth Tenant;Putri;+62859-2771-1005
15;MRO & Industrial Parts;Wooden Packaging (Pallet Box) PWHT NDT;Ferry;+62856-1144-000
16;Logistics & Transportation;Karoseri Rental Alat Berat Fabrikasi;-;+62811-1000-3560
17;General Affairs (GA);Merchandise Cetakan Seragam;Iman;+62821-1300-5288
18;IT & Telecommunication;Connectivity Internet (National Coverage);Fajar (iForte);+62888-1850-287
19;IT & Telecommunication;ICT IoT Smart Office Security Cloud;Panji (PT Aclivis Solution);+62812-8111-1330
20;MRO & Industrial Parts;Sparepart OEM Alat Berat & Fabrikasi;Ahmad;+62878-6024-6682
21;Construction & MEP;Fire Protection System (Design & Parts);Yessy;+62817-4817-577
22;General Affairs (GA);Green Beans & Pelatihan Barista;-;+62856-7647-286
23;General Affairs (GA);Freezer / Chiller + Service All Brand;Leni (PT The Cool);+62818-089-66846
24;Logistics & Environment;Jasa Angkut & Pengelolaan Limbah;Waste4Change;+62851-7112-8202
25;Logistics & Transportation;Trucking Warehouse Custom Clearance;Jovan (Puninar Logistics);+62878-7740-8216
26;IT & Telecommunication;Access Point CCTV Router Solar Switch;Made (Harrisma Jaya);+62878-7598-4090
27;Energy & Utilities;Kontraktor Design & Build Green Energy;Rusdi (PT Sampoerna Bangun);+62815-3322-2186
28;Energy & Utilities;Isolasi Tahan Panas & Rental Genset;Alvin;+62857-1678-3379
29;IT & Telecommunication;RFID Barcode WMS Custom App;Deny (PT Nexera Pandawa);+62878-8667-5585
30;IT & Telecommunication;Internet Dedicated SD-WAN Cloud;Fredy (PT Fiber Network);+62857-1020-5700
31;MRO & Industrial Parts;Flowmeter Water Analyzer Solar Panel;Rizal;+62856-2228-1111
32;MRO & Industrial Parts;Sparepart Mobil & Truck (Hino Daimler);-;+62877-2000-3735
33;MRO & Industrial Parts;Sparepart Alat Berat Truck Genset Filter;Gabriel;+62851-7998-8710
34;MRO & Industrial Parts;Plastic Flexible Packaging & Injection;Raymond;+62822-9726-2044
35;MRO & Industrial Parts;Sparepart Asli Komatsu (Import Jepang);Yasir;+62822-5089-9268
36;General Affairs (GA);Merchandise Konveksi Furniture Ikan Lele;Lalu Setiyadi;+62852-9533-6238
37;MRO & Industrial Parts;Kawat Las Mesin Las & Consumables;Andi Arnava;+62813-1714-1906
38;MRO & Industrial Parts;Parts Trailer Tower Lamp Lift & Escalator;Azis;+62852-8246-9666
39;IT & Telecommunication;Elektronik Laptop Kulkas Lighting;-;+62896-5058-8063
40;MRO & Industrial Parts;Mur Baut Fastener Plat Roundbar;PT Sugitech Makmur Abadi;+62877-6792-1123
41;Construction & MEP;Molding Injection HDPE Pipa Gas & Air;Friska;+62821-2660-0143
42;Professional Services;Training Bahasa Inggris & Jepang;Vania;+62896-3508-2578
43;Construction & MEP;Project Sipil & MEP;Daus;+62812-1349-9980
44;Energy & Utilities;Biomass (Cangkang Sawit Woodchip) & PLTS;Della;+62851-5900-6065
45;Energy & Utilities;Solar Tangki Fuel Tongkang & Limbah B3;Ibu Nia;+62 821-5377-7472
46;Logistics & Transportation;Rental LV Bus Truck Kendaraan Ringan;Ivan;+62 851 59949966
47;Construction & MEP;Konsultan Perencana Arsitektur & Interior;Wiwil (Alien Dc);+62812-1355-4881
48;Logistics & Transportation;Rental Alat Berat Forklift Crane Scissor;Rifki;+62856-0101-9957
49;MRO & Industrial Parts;Wooden Pallet & Box (ISPM#15) Carton Box;Han;+62858-1722-0238
50;Construction & MEP;General Contractor Civil HVAC Fire IT;Dita;+62821-1221-9387
51;General Affairs (GA);Travel & Trip Organizer EO Outing;-;+62895-1230-2333
52;General Supply;Mechanical & electrical + Fabrikasi;Fergie;+62812-97520983
53;Safety System;CCTV, videotron & Fiber optic network;Fergie;+62812-97520983
54;Medical Device and IT;Alat Kesehatan - Server integrasi Rumah Sakit;Adji Pangestu;+6281279040913
55;Financial Services;Asuransi piutang dagang;Daniel;+6281277237748
56;Kontraktor MEP, Panel Surya, Panel Maker, Sewa Alat Tes;Maintenance, EPC, Panel Maker, Installer;Erik Ginting;+62 811-8801-7598
57;Wood Working Supplies & Tools;Diamond Wheel, TCT, Sawblde, Asah Mata, Baut, Amplas, Mesin Potong, dll;Andika Dimas;+6285711500552
58;SIPIL and MEP;ALIF, CV;Riyanto;+6282139229006
59;SIPIL and MEP;ARDINAMIKA LANGGENG KAMULYA, CV;Hanis;+6281334702753
60;SIPIL and MEP;ANUGERAH BERSAMA SAPUTRA, CV;Ernes;031-99166601
61;SIPIL and MEP;CITRA KARYA ABADI, CV;Djoko;+6285648032457
62;SIPIL and MEP;SANDHIKA MULTI KARYA, CV;Wiyono;+628563690003
63;SIPIL and MEP;BISEKA SYNERGY, CV;Jainuri;+6281230687044
64;SIPIL and MEP;SINERGI KARYA HUTAMA, CV;Hendra;+6281234970660
65;SIPIL and MEP;KARYA INTEGRA, CV;Dendy;+6281233373747
66;SIPIL and MEP;MITRA TANGGUH REKACIPTA, CV;Kesit;+6281329254060
67;SIPIL and MEP;BANGUN BERSAMA, CV;Mellisa;+6282233006704
68;SIPIL and MEP;SINAR BUANA PRIMA, PT;'N/A;031-8066777
69;SIPIL and MEP;WIJAYA PERSADA INDONESIA, PT;'N/A;+62817221992
70;SIPIL and MEP;TRI DAYA MAKMUR INDONESIA, PT;'N/A;+6281381853636
71;SIPIL and MEP;TAMBAH JAYA, CV;Yanto;+6281334998877
72;SIPIL and MEP;SEMUT EMAS, CV;Hendra;+6285723393797
73;SIPIL and MEP;MUTIARA BANGUN BERKAH, PT;Bu Ruli;+6282143868536
74;SIPIL and MEP;SELARAS HARAPAN SEMESTA, PT;Ibrahim Rahman;+6281340003034
75;SIPIL and MEP;MAHKOTA TIMUR, PT;N/A;021-29080265
76;SIPIL and MEP;MOERIZ MULTIKARYA, CV;Mutain;+6281232979582
77;SIPIL and MEP;SINTESIS SELARAS SINERGI, PT;Aska;+6281328211031
78;SIPIL and MEP;KOKOH KARYA SEJAHTERA, PT;Mardiono;+6281228899619
